name,description
Aqua Tail,"Power: 90.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Arm Thrust,"Power: 15.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Aromatherapy,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: Cures all status problems in your party.
Prob. (%): nan
"
Aromatic Mist,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Raises Special Defense of an ally.
Prob. (%): nan
"
Assist,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: User performs a move known by its allies at random.
Prob. (%): nan
"
Assurance,"Power: 60.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Power doubles if opponent already took damage in the same turn.
Prob. (%): nan
"
Astonish,"Power: 30.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Astral Barrage,"Power: 120.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
Prob. (%): nan
"
Attack Order,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Attract,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: If opponent is the opposite gender, it's less likely to attack.
Prob. (%): nan
"
Aura Sphere,"Power: 80.0
Acc.: ∞
PP: 20.0
Damage Class: Special
Effect: Ignores Accuracy and Evasiveness.
Prob. (%): nan
"
Aura Wheel,"Power: 110.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Changes type based on Morpeko's Mode.
Prob. (%): 100.0
"
Aurora Beam,"Power: 65.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: May lower opponent's Attack.
Prob. (%): 10.0
"
Aurora Veil,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Halves damage from Physical and Special attacks for five turns.
Prob. (%): nan
"
Autotomize,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Reduces weight and sharply raises Speed.
Prob. (%): nan
"
Avalanche,"Power: 60.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Power doubles if user took damage first.
Prob. (%): nan
"
Baby Doll Eyes,"Power: nan
Acc.: 100
PP: 30.0
Damage Class: Status
Effect: Always goes first. Lowers the target's attack.
Prob. (%): nan
"
Baddy Bad,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Reduces damage from Physical attacks.
Prob. (%): nan
"
Baneful Bunker,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Protects the user and poisons opponent on contact.
Prob. (%): nan
"
Barrage,"Power: 15.0
Acc.: 85
PP: 20.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Barrier,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Sharply raises user's Defense.
Prob. (%): nan
"
Baton Pass,"Power: nan
Acc.: nan
PP: 40.0
Damage Class: Status
Effect: User switches out and gives stat changes to the incoming Pokémon.
Prob. (%): nan
"
Beak Blast,"Power: 100.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.
Prob. (%): nan
"
Beat Up,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Each Pokémon in user's party attacks.
Prob. (%): nan
"
Behemoth Bash,"Power: 100.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Damage doubles if target is Dynamaxed.
Prob. (%): nan
"
Behemoth Blade,"Power: 100.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Damage doubles if target is Dynamaxed.
Prob. (%): nan
"
Belch,"Power: 120.0
Acc.: 90
PP: 10.0
Damage Class: Special
Effect: User must have consumed a Berry.
Prob. (%): nan
"
Belly Drum,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User loses 50% of its max HP, but Attack raises to maximum.
Prob. (%): nan
"
Bestow,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Gives the user's held item to the target.
Prob. (%): nan
"
Bide,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Physical
Effect: User takes damage for two turns then strikes back double.
Prob. (%): nan
"
Bind,"Power: 15.0
Acc.: 85
PP: 20.0
Damage Class: Physical
Effect: Traps opponent, damaging them for 4-5 turns.
Prob. (%): 100.0
"
Bite,"Power: 60.0
Acc.: 100
PP: 25.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Blast Burn,"Power: 150.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: User must recharge next turn.
Prob. (%): nan
"
Blaze Kick,"Power: 85.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: High critical hit ratio. May burn opponent.
Prob. (%): 10.0
"
Blizzard,"Power: 110.0
Acc.: 70
PP: 5.0
Damage Class: Special
Effect: May freeze opponent.
Prob. (%): 10.0
"
Block,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: Opponent cannot flee or switch.
Prob. (%): nan
"
Blue Flare,"Power: 130.0
Acc.: 85
PP: 5.0
Damage Class: Special
Effect: May burn opponent.
Prob. (%): 20.0
"
Body Press,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: The higher the user's Defense, the stronger the attack.
Prob. (%): nan
"
Body Slam,"Power: 85.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May paralyze opponent.
Prob. (%): 30.0
"
Bolt Beak,"Power: 85.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: If the user attacks before the target, the power of this move is doubled.
Prob. (%): nan
"
Bolt Strike,"Power: 130.0
Acc.: 85
PP: 5.0
Damage Class: Physical
Effect: May paralyze opponent.
Prob. (%): 20.0
"
Bone Club,"Power: 65.0
Acc.: 85
PP: 20.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 10.0
"
Bone Rush,"Power: 25.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Bonemerang,"Power: 50.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: Hits twice in one turn.
Prob. (%): nan
"
Boomburst,"Power: 140.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Hits all adjacent Pokémon.
Prob. (%): nan
"
Bounce,"Power: 85.0
Acc.: 85
PP: 5.0
Damage Class: Physical
Effect: Springs up on first turn, attacks on second. May paralyze opponent.
Prob. (%): 30.0
"
Bouncy Bubble,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: User recovers half the HP inflicted on opponent.
Prob. (%): nan
"
Branch Poke,"Power: 40.0
Acc.: 100
PP: 40.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Brave Bird,"Power: 120.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: User receives recoil damage.
Prob. (%): nan
"
Breaking Swipe,"Power: 60.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Hits multiple opponents and lowers their attack.
Prob. (%): 100.0
"
Brick Break,"Power: 75.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Breaks through Reflect and Light Screen barriers.
Prob. (%): nan
"
Brine,"Power: 65.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Power doubles if opponent's HP is less than 50%.
Prob. (%): nan
"
Brutal Swing,"Power: 60.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: The user swings its body around violently to inflict damage on everything in its vicinity.
Prob. (%): nan
"
Bubble,"Power: 40.0
Acc.: 100
PP: 30.0
Damage Class: Special
Effect: May lower opponent's Speed.
Prob. (%): 10.0
"
Bubble Beam,"Power: 65.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: May lower opponent's Speed.
Prob. (%): 10.0
"
Bug Bite,"Power: 60.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Receives the effect from the opponent's held berry.
Prob. (%): nan
"
Bug Buzz,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May lower opponent's Special Defense.
Prob. (%): 10.0
"
Bulk Up,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Raises user's Attack and Defense.
Prob. (%): nan
"
Bulldoze,"Power: 60.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Lowers opponent's Speed.
Prob. (%): 100.0
"
Bullet Punch,"Power: 40.0
Acc.: 100
PP: 30.0
Damage Class: Physical
Effect: User attacks first.
Prob. (%): nan
"
Bullet Seed,"Power: 25.0
Acc.: 100
PP: 30.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Burn Up,"Power: 130.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.
Prob. (%): nan
"
Burning Jealousy,"Power: 70.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Hits all opponents, and burns any that have had their stats boosted.
Prob. (%): nan
"
Buzzy Buzz,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Paralyzes the opponent.
Prob. (%): 100.0
"
Calm Mind,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Raises user's Special Attack and Special Defense.
Prob. (%): nan
"
Camouflage,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Changes user's type according to the location.
Prob. (%): nan
"
Captivate,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Sharply lowers opponent's Special Attack if opposite gender.
Prob. (%): nan
"
Catastropika,"Power: 210.0
Acc.: nan
PP: 1.0
Damage Class: Physical
Effect: Pikachu-exclusive Z-Move.
Prob. (%): nan
"
Celebrate,"Power: nan
Acc.: nan
PP: 40.0
Damage Class: Status
Effect: The Pokémon congratulates you on your special day. No battle effect.
Prob. (%): nan
"
Charge,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Raises user's Special Defense and next Electric move's power increases.
Prob. (%): nan
"
Charge Beam,"Power: 50.0
Acc.: 90
PP: 10.0
Damage Class: Special
Effect: May raise user's Special Attack.
Prob. (%): 70.0
"
Charm,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Sharply lowers opponent's Attack.
Prob. (%): nan
"
Chatter,"Power: 65.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: Confuses opponent.
Prob. (%): 100.0
"
Chip Away,"Power: 70.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Ignores opponent's stat changes.
Prob. (%): nan
"
Circle Throw,"Power: 60.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: In battles, the opponent switches. In the wild, the Pokémon runs.
Prob. (%): nan
"
Clamp,"Power: 35.0
Acc.: 85
PP: 15.0
Damage Class: Physical
Effect: Traps opponent, damaging them for 4-5 turns.
Prob. (%): 100.0
"
Clanging Scales,"Power: 110.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Lowers user's Defense.
Prob. (%): 100.0
"
Clangorous Soul,"Power: nan
Acc.: 100
PP: 5.0
Damage Class: Status
Effect: Raises all user's stats but loses HP.
Prob. (%): 100.0
"
Clangorous Soulblaze,"Power: 185.0
Acc.: nan
PP: 1.0
Damage Class: Special
Effect: Kommo-o exclusive Z-Move.
Prob. (%): nan
"
Clear Smog,"Power: 50.0
Acc.: nan
PP: 15.0
Damage Class: Special
Effect: Removes all of the target's stat changes.
Prob. (%): nan
"
Close Combat,"Power: 120.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Lowers user's Defense and Special Defense.
Prob. (%): 100.0
"
Coaching,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Boosts Attack and Defense of a teammate.
Prob. (%): nan
"
Coil,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Raises user's Attack, Defense and Accuracy.
Prob. (%): nan
"
Comet Punch,"Power: 18.0
Acc.: 85
PP: 15.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Confide,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Lowers opponent's Special Attack.
Prob. (%): 100.0
"
Confuse Ray,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: Confuses opponent.
Prob. (%): nan
"
Confusion,"Power: 50.0
Acc.: 100
PP: 25.0
Damage Class: Special
Effect: May confuse opponent.
Prob. (%): 10.0
"
Constrict,"Power: 10.0
Acc.: 100
PP: 35.0
Damage Class: Physical
Effect: May lower opponent's Speed by one stage.
Prob. (%): 10.0
"
Conversion,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: Changes user's type to that of its first move.
Prob. (%): nan
"
Conversion 2,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: User changes type to become resistant to opponent's last move.
Prob. (%): nan
"
Copycat,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Copies opponent's last move.
Prob. (%): nan
"
Core Enforcer,"Power: 100.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Suppresses the target's ability if the target has already moved.
Prob. (%): nan
"
Corrosive Gas,"Power: nan
Acc.: 100
PP: 40.0
Damage Class: Status
Effect: Removes opponent's items.
Prob. (%): nan
"
Cosmic Power,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Raises user's Defense and Special Defense.
Prob. (%): nan
"
Cotton Guard,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Drastically raises user's Defense.
Prob. (%): nan
"
Cotton Spore,"Power: nan
Acc.: 100
PP: 40.0
Damage Class: Status
Effect: Sharply lowers opponent's Speed.
Prob. (%): nan
"
Counter,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: When hit by a Physical Attack, user strikes back with 2x power.
Prob. (%): nan
"
Court Change,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: Swaps the effects on either side of the field.
Prob. (%): nan
"
Covet,"Power: 60.0
Acc.: 100
PP: 25.0
Damage Class: Physical
Effect: Opponent's item is stolen by the user.
Prob. (%): nan
"
Crabhammer,"Power: 100.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Crafty Shield,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Protects the Pokémon from status moves.
Prob. (%): nan
"
Cross Chop,"Power: 100.0
Acc.: 80
PP: 5.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Cross Poison,"Power: 70.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: High critical hit ratio. May poison opponent.
Prob. (%): 10.0
"
Crunch,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May lower opponent's Defense.
Prob. (%): 20.0
"
Crush Claw,"Power: 75.0
Acc.: 95
PP: 10.0
Damage Class: Physical
Effect: May lower opponent's Defense.
Prob. (%): 50.0
"
Crush Grip,"Power: nan
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: More powerful when opponent has higher HP.
Prob. (%): nan
"
Curse,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.
Prob. (%): nan
"
Cut,"Power: 50.0
Acc.: 95
PP: 30.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Dark Pulse,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: May cause flinching.
Prob. (%): 20.0
"
Dark Void,"Power: nan
Acc.: 50
PP: 10.0
Damage Class: Status
Effect: Puts all adjacent opponents to sleep.
Prob. (%): nan
"
Darkest Lariat,"Power: 85.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Ignores opponent's stat changes.
Prob. (%): nan
"
Dazzling Gleam,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Hits all adjacent opponents.
Prob. (%): nan
"
Decorate,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Sharply raises target's Attack and Special Attack.
Prob. (%): 100.0
"
Defend Order,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Raises user's Defense and Special Defense.
Prob. (%): nan
"
Defense Curl,"Power: nan
Acc.: nan
PP: 40.0
Damage Class: Status
Effect: Raises user's Defense.
Prob. (%): nan
"
Defog,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Lowers opponent's Evasiveness and clears fog.
Prob. (%): nan
"
Destiny Bond,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: If the user faints, the opponent also faints.
Prob. (%): nan
"
Detect,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: Protects the user, but may fail if used consecutively.
Prob. (%): nan
"
Diamond Storm,"Power: 100.0
Acc.: 95
PP: 5.0
Damage Class: Physical
Effect: May sharply raise user's Defense.
Prob. (%): 50.0
"
Dig,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Digs underground on first turn, attacks on second. Can also escape from caves.
Prob. (%): nan
"
Disable,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Opponent can't use its last attack for a few turns.
Prob. (%): nan
"
Disarming Voice,"Power: 40.0
Acc.: ∞
PP: 15.0
Damage Class: Special
Effect: Ignores Accuracy and Evasiveness.
Prob. (%): nan
"
Discharge,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: May paralyze opponent.
Prob. (%): 30.0
"
Dive,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Dives underwater on first turn, attacks on second turn.
Prob. (%): nan
"
Dizzy Punch,"Power: 70.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: May confuse opponent.
Prob. (%): 20.0
"
Doom Desire,"Power: 140.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Damage occurs 2 turns later.
Prob. (%): nan
"
Double Edge,"Power: 120.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: User receives recoil damage.
Prob. (%): nan
"
Double Hit,"Power: 35.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: Hits twice in one turn.
Prob. (%): nan
"
Double Iron Bash,"Power: 60.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Hits twice in one turn; may cause flinching.
Prob. (%): 30.0
"
Double Kick,"Power: 30.0
Acc.: 100
PP: 30.0
Damage Class: Physical
Effect: Hits twice in one turn.
Prob. (%): nan
"
Double Slap,"Power: 15.0
Acc.: 85
PP: 10.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Double Team,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Raises user's Evasiveness.
Prob. (%): nan
"
Draco Meteor,"Power: 130.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: Sharply lowers user's Special Attack.
Prob. (%): 100.0
"
Dragon Ascent,"Power: 120.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Lowers user's Defense and Special Defense.
Prob. (%): 100.0
"
Dragon Breath,"Power: 60.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: May paralyze opponent.
Prob. (%): 30.0
"
Dragon Claw,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Dragon Dance,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Raises user's Attack and Speed.
Prob. (%): nan
"
Dragon Darts,"Power: 50.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: User attacks twice.
Prob. (%): nan
"
Dragon Energy,"Power: 150.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: The higher the user's HP, the higher the power.
Prob. (%): nan
"
Dragon Hammer,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: The user uses its body like a hammer to attack the target and inflict damage.
Prob. (%): nan
"
Dragon Pulse,"Power: 85.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: nan
Prob. (%): nan
"
Dragon Rage,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Always inflicts 40 HP.
Prob. (%): nan
"
Dragon Rush,"Power: 100.0
Acc.: 75
PP: 10.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 20.0
"
Dragon Tail,"Power: 60.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: In battles, the opponent switches. In the wild, the Pokémon runs.
Prob. (%): nan
"
Drain Punch,"Power: 75.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: User recovers half the HP inflicted on opponent.
Prob. (%): nan
"
Draining Kiss,"Power: 50.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: User recovers most the HP inflicted on opponent.
Prob. (%): nan
"
Dream Eater,"Power: 100.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: User recovers half the HP inflicted on a sleeping opponent.
Prob. (%): nan
"
Drill Peck,"Power: 80.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Drill Run,"Power: 80.0
Acc.: 95
PP: 10.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Drum Beating,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Lowers opponent's Speed.
Prob. (%): 100.0
"
Dual Chop,"Power: 40.0
Acc.: 90
PP: 15.0
Damage Class: Physical
Effect: Hits twice in one turn.
Prob. (%): nan
"
Dual Wingbeat,"Power: 40.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: The user slams the target with its wings. The target is hit twice in a row.
Prob. (%): nan
"
Dynamax Cannon,"Power: 100.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Damage doubles if opponent is Dynamaxed.
Prob. (%): nan
"
Dynamic Punch,"Power: 100.0
Acc.: 50
PP: 5.0
Damage Class: Physical
Effect: Confuses opponent.
Prob. (%): 100.0
"
Earth Power,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May lower opponent's Special Defense.
Prob. (%): 10.0
"
Earthquake,"Power: 100.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Power is doubled if opponent is underground from using Dig.
Prob. (%): nan
"
Echoed Voice,"Power: 40.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Power increases each turn.
Prob. (%): nan
"
Eerie Impulse,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Sharply lowers opponent's Special Attack.
Prob. (%): nan
"
Eerie Spell,"Power: 80.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Deals damage and reduces opponent's PP.
Prob. (%): nan
"
Egg Bomb,"Power: 100.0
Acc.: 75
PP: 10.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Electric Terrain,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Prevents all Pokémon from falling asleep for 5 turns.
Prob. (%): nan
"
Electrify,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Changes the target's move to Electric type.
Prob. (%): nan
"
Electro Ball,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: The faster the user, the stronger the attack.
Prob. (%): nan
"
Electroweb,"Power: 55.0
Acc.: 95
PP: 15.0
Damage Class: Special
Effect: Lowers opponent's Speed.
Prob. (%): 100.0
"
Embargo,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Opponent cannot use items.
Prob. (%): nan
"
Ember,"Power: 40.0
Acc.: 100
PP: 25.0
Damage Class: Special
Effect: May burn opponent.
Prob. (%): 10.0
"
Encore,"Power: nan
Acc.: 100
PP: 5.0
Damage Class: Status
Effect: Forces opponent to keep using its last move for 3 turns.
Prob. (%): nan
"
Endeavor,"Power: nan
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Reduces opponent's HP to same as user's.
Prob. (%): nan
"
Endure,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Always left with at least 1 HP, but may fail if used consecutively.
Prob. (%): nan
"
Energy Ball,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May lower opponent's Special Defense.
Prob. (%): 10.0
"
Entrainment,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Makes target's ability same as user's.
Prob. (%): nan
"
Eruption,"Power: 150.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Stronger when the user's HP is higher.
Prob. (%): nan
"
Eternabeam,"Power: 160.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: User can't move on the next turn.
Prob. (%): nan
"
