pokemonName,abilityName
Mega Medicham,Meteor Assault
Electrike,Thunderbolt
Manectric,Discharge
Mega Manectric,Spark
Plusle,Charge Beam
Minun,G-Max Volt Crash
Volbeat,Infestation
Illumise,G-Max Befuddle
Roselia,Giga Drain
Gulpin,Toxic Thread
Swalot,Poison Gas
Carvanha,Life Dew
Mega Sharpedo,Crabhammer
Sharpedo,Life Dew
Wailmer,Water Spout
Wailord,Whirlpool
Numel,Max Flare
Camerupt,Will O Wisp
Mega Camerupt,Fire Pledge
Torkoal,Sunny Day
Spoink,Psychic Fangs
Grumpig,Rest
Spinda,Giga Impact
Trapinch,Bulldoze
Vibrava,G-Max Sandblast
Flygon,Mud Bomb
Cacnea,Leaf Blade
Cacturne,Grass Knot
Swablu,Head Charge
Altaria,Clangorous Soul
Mega Altaria,Scale Shot
Zangoose,Yawn
Seviper,Sludge
Lunatone,Rock Polish
Solrock,Rock Tomb
Barboach,Razor Shell
Whiscash,Bubble
Corphish,Scald
Crawdaunt,Flip Turn
Baltoy,Thousand Arrows
Claydol,Earthquake
Lileep,Sandstorm
Cradily,Smack Down
Anorith,Rock Blast
Armaldo,Diamond Storm
Feebas,Water Sport
Milotic,Water Pledge
Castform,Feint
Castform Sunny Form,Heat Wave
Castform Rainy Form,Razor Shell
Castform Snowy Form,Frost Breath
Kecleon,Lock On
Shuppet,Hex
Mega Banette,Phantom Force
Banette,Max Phantasm
Duskull,Shadow Claw
Dusclops,G-Max Terror
Tropius,Magical Leaf
Chimecho,Power Swap
Absol,Quash
Mega Absol,Snatch
Wynaut,Power Swap
Snorunt,Icy Wind
Mega Glalie,Sheer Cold
Glalie,Ice Burn
Spheal,Haze
Sealeo,Avalanche
Walrein,Icy Wind
Clamperl,Sparkling Aria
Huntail,Clamp
Gorebyss,Aqua Tail
Relicanth,Aqua Jet
Luvdisc,Water Pledge
Bagon,Dragon Darts
Shelgon,Core Enforcer
Mega Salamence,Clanging Scales
Salamence,Dragon Darts
Beldum,Behemoth Bash
Metang,Flash Cannon
Mega Metagross,Searing Sunraze Smash
Metagross,Gear Up
Regirock,Head Smash
Regice,Avalanche
Registeel,Gyro Ball
Mega Latias,Clanging Scales
Latias,Breaking Swipe
Latios,Dragon Breath
Mega Latios,Dual Chop
Primal Kyogre,Hydro Pump
Kyogre,Brine
Primal Groudon,Rototiller
Groudon,Fissure
Mega Rayquaza,Dragon Rush
Rayquaza,Breaking Swipe
Jirachi,Steel Roller
Deoxys Defense Forme,Luster Purge
Deoxys Attack Forme,Kinesis
Deoxys Normal Forme,Psycho Cut
Deoxys Speed Forme,Wonder Room
Turtwig,G-Max Vine Lash
Grotle,G-Max Sweetness
Torterra,G-Max Vine Lash
Chimchar,Blue Flare
Monferno,Searing Shot
Infernape,Searing Shot
Piplup,Crabhammer
Prinplup,Whirlpool
Empoleon,Sparkling Aria
Starly,Super Fang
Staravia,Wring Out
Staraptor,Hold Hands
Bidoof,Block
Bibarel,Veevee Volley
Kricketot,Sticky Web
Kricketune,Quiver Dance
Shinx,Overdrive
Luxio,Bolt Strike
Luxray,Spark
Budew,Forest'S Curse
Roserade,G-Max Drum Solo
Cranidos,Ancient Power
Rampardos,Splintered Stormshards
Shieldon,Rock Throw
Bastiodon,G-Max Volcalith
Burmy Plant Cloak,Spider Web
Burmy Sandy Cloak,Silver Wind
Burmy Trash Cloak,X Scissor
Wormadam Plant Cloak,Lunge
Wormadam Sandy Cloak,Rage Powder
Wormadam Trash Cloak,Leech Life
Mothim,Twineedle
Combee,Spider Web
Vespiquen,Struggle Bug
Pachirisu,Electroweb
Buizel,Bubble Beam
Floatzel,Water Pledge
Cherubi,Seed Bomb
Cherrim,Vine Whip
Shellos,Waterfall
Gastrodon,Life Dew
Ambipom,Perish Song
Drifloon,Confuse Ray
Drifblim,Grudge
Buneary,Natural Gift
Mega Lopunny,Boomburst
Lopunny,Teatime
Mismagius,Night Shade
Honchkrow,Flatter
Glameow,Smokescreen
Purugly,Max Strike
Chingling,Calm Mind
Stunky,Clear Smog
Skuntank,Poison Gas
Bronzor,G-Max Steelsurge
Bronzong,Sunsteel Strike
Bonsly,Power Gem
Mime Jr.,Psybeam
Happiny,Thrash
Chatot,Recycle
Spiritomb,Grudge
Gible,Dragon Pulse
Gabite,Dragon Rage
Garchomp,Max Wyrmwind
Mega Garchomp,Outrage
Munchlax,Lock On
Riolu,Low Kick
Mega Lucario,Body Press
Lucario,Vacuum Wave
Hippopotas,Scorching Sands
Hippowdon,Bone Rush
Skorupi,Corrosive Gas
Drapion,Smog
Croagunk,Venom Drench
Toxicroak,Baneful Bunker
Carnivine,Seed Bomb
Finneon,Water Shuriken
Lumineon,Water Pledge
Mantyke,Hydro Cannon
Snover,Horn Leech
Abomasnow,G-Max Vine Lash
Mega Abomasnow,G-Max Drum Solo
Weavile,Wicked Blow
Magnezone,Catastropika
Lickilicky,Me First
Rhyperior,Earthquake
Tangrowth,Spiky Shield
Electivire,Rising Voltage
Magmortar,Lava Plume
Togekiss,Sweet Kiss
Yanmega,Pin Missile
Leafeon,Sleep Powder
Glaceon,G-Max Resonance
Gliscor,Fissure
Mamoswine,Aurora Beam
Porygon-Z,Supersonic
Gallade,Power Swap
Mega Gallade,Guard Split
Probopass,Tar Shot
Dusknoir,Shadow Punch
Froslass,Frost Breath
Fan Rotom,Nuzzle
Frost Rotom,Thunder
Wash Rotom,Shock Wave
Heat Rotom,Parabolic Charge
Rotom,Catastropika
Mow Rotom,Charge Beam
Uxie,Rest
Mesprit,Kinesis
Azelf,Heal Block
Dialga,G-Max Steelsurge
Dialga Origin Forme,Double Iron Bash
Palkia Origin Forme,Oceanic Operetta
Palkia,Bouncy Bubble
Heatran,Sacred Fire
Regigigas,Bind
Giratina Origin Forme,Spite
Giratina Altered Forme,Confuse Ray
Cresselia,Freezing Glare
Phione,Bubble
Manaphy,Flip Turn
Darkrai,Throat Chop
Shaymin Land Forme,Sleep Powder
Shaymin Sky Forme,Drum Beating
Arceus,Perish Song
Victini,Psychic Terrain
Snivy,Wood Hammer
Servine,Grassy Terrain
Serperior,Seed Flare
Tepig,Fusion Flare
Pignite,Magma Storm
Emboar,Blue Flare
Oshawott,G-Max Rapid Flow
Dewott,Bouncy Bubble
Samurott,Bouncy Bubble
Hisuian Samurott,Water Sport
Patrat,Fury Attack
Watchog,Mean Look
Lillipup,Take Down
Herdier,Tail Slap
Stoutland,Super Fang
Purrloin,Snatch
Liepard,Dark Pulse
Pansage,Magical Leaf
Simisage,Seed Flare
Pansear,Heat Wave
Simisear,Fire Pledge
Panpour,Surging Strikes
Simipour,Max Geyser
Munna,Teleport
Musharna,Magic Powder
Pidove,Slack Off
Tranquill,Retaliate
Unfezant,Screech
Blitzle,Spark
Zebstrika,Electric Terrain
Roggenrola,Tar Shot
Boldore,Wide Guard
Gigalith,Wide Guard
Woobat,Future Sight
Swoobat,Psywave
Drilbur,Thousand Arrows
Excadrill,Spikes
Mega Audino,Tail Slap
Audino,Fury Swipes
Timburr,Rock Smash
Gurdurr,Drain Punch
Conkeldurr,Final Gambit
Tympole,Origin Pulse
Palpitoad,Hydro Pump
Seismitoad,G-Max Stonesurge
Throh,Aura Sphere
Sawk,No Retreat
Sewaddle,Spider Web
Swadloon,G-Max Befuddle
Leavanny,Sticky Web
Venipede,First Impression
Whirlipede,Struggle Bug
Scolipede,U Turn
Cottonee,Horn Leech
Whimsicott,Grassy Terrain
Petilil,Needle Arm
Hisuian Lilligant,Strength Sap
Lilligant,Cotton Spore
Basculin White-Striped Form,Water Sport
Basculin Blue-Striped Form,Bouncy Bubble
Basculin Red-Striped Form,Origin Pulse
Sandile,Sand Attack
Krokorok,G-Max Sandblast
Krookodile,Thousand Waves
Galarian Darumaka,Ice Shard
Darumaka,Blue Flare
Darmanitan Standard Mode,Sunny Day
Darmanitan Galarian Zen Mode,Ice Burn
Darmanitan Galarian Standard Mode,Haze
Darmanitan Zen Mode,Burn Up
Maractus,Leaf Tornado
Dwebble,X Scissor
Crustle,Pollen Puff
Scraggy,Hone Claws
Scrafty,Payback
Sigilyph,G-Max Gravitas
Galarian Yamask,Mud Shot
Yamask,Shadow Punch
Cofagrigus,Grudge
Tirtouga,G-Max Cannonade
Carracosta,Liquidation
Archen,Stealth Rock
Archeops,Rock Slide
Trubbish,G-Max Malodor
Garbodor Gigantamax,Coil
Garbodor,Gunk Shot
Zorua,Hyperspace Fury
Hisuian Zorua,Attract
Zoroark,Brutal Swing
Hisuian Zoroark,Rage
Minccino,Copycat
Cinccino,Relic Song
Gothita,Rest
Gothorita,Freezing Glare
Gothitelle,Magic Room
Solosis,Synchronoise
Duosion,Synchronoise
Reuniclus,Freezing Glare
Ducklett,Snipe Shot
Swanna,G-Max Hydrosnipe
Vanillite,Max Hailstorm
Vanillish,Freeze Shock
Vanilluxe,Ice Fang
Deerling,Fake Out
Sawsbuck,Hyper Voice
Emolga,Discharge
Karrablast,String Shot
Escavalier,Spider Web
Foongus,G-Max Drum Solo
Amoonguss,Sappy Seed
Frillish,Bouncy Bubble
Jellicent,Sparkling Aria
Alomomola,Oceanic Operetta
Joltik,Tail Glow
Galvantula,Signal Beam
Ferroseed,Leaf Blade
Ferrothorn,Grass Knot
Klink,Meteor Mash
Klang,Steel Wing
Klinklang,Metal Claw
Tynamo,Pika Papow
Eelektrik,Plasma Fists
Eelektross,Wild Charge
Elgyem,Psycho Shift
Beheeyem,Extrasensory
Litwick,Night Shade
Lampent,Shadow Ball
Chandelure,G-Max Terror
Axew,Dragon Darts
Fraxure,Twister
Haxorus,Outrage
Cubchoo,Powder Snow
Beartic,Glaciate
Cryogonal,Freeze Shock
Shelmet,U Turn
Accelgor,Bug Buzz
Stunfisk,High Horsepower
Galarian Stunfisk,Max Quake
Mienfoo,Final Gambit
Mienshao,Detect
Druddigon,Draco Meteor
Golett,Mud Shot
Golurk,Earth Power
Pawniard,G-Max Snooze
Bisharp,G-Max One Blow
Bouffalant,Veevee Volley
Rufflet,Screech
Hisuian Braviary,Calm Mind
Braviary,Retaliate
Vullaby,Snatch
Mandibuzz,Payback
Heatmor,Searing Shot
Durant,Lunge
Deino,G-Max Snooze
Zweilous,Snatch
Hydreigon,Snatch
Larvesta,Spider Web
Volcarona,String Shot
Cobalion,Mirror Shot
Terrakion,Rock Polish
Virizion,Solar Blade
Tornadus Incarnate Forme,Dragon Ascent
Tornadus Therian Forme,Gust
Thundurus Therian Forme,Electroweb
Thundurus Incarnate Forme,Electro Ball
Reshiram,Outrage
Zekrom,Dragon Darts
Landorus Incarnate Forme,Shore Up
Landorus Therian Forme,Max Quake
Kyurem,Dragon Breath
Black Kyurem,Dragon Energy
White Kyurem,Outrage
Keldeo Resolute Form,Aqua Ring
Keldeo Ordinary Form,Life Dew
Meloetta Pirouette Forme,Swift
Meloetta Aria Forme,Max Guard
Genesect,Powder
Chespin,Absorb
Quilladin,Branch Poke
Chesnaught,Razor Leaf
Fennekin,Magma Storm
Braixen,Ember
Delphox,Blaze Kick
Froakie,Water Shuriken
Frogadier,Liquidation
Greninja,Life Dew
Ash-Greninja,Surging Strikes
Bunnelby,Pound
Diggersby,Constrict
Fletchling,Comet Punch
Fletchinder,Fire Punch
Talonflame,Flame Charge
Scatterbug,Skitter Smack
Spewpa,Megahorn
Vivillon,First Impression
Litleo,Fire Spin
Pyroar,G-Max Fireball
Flabébé,Play Rough
Floette,Light Of Ruin
Florges,Moonlight
Skiddo,Worry Seed
Gogoat,Worry Seed
Pancham,Counter
Pangoro,Coaching
Furfrou,Slam
Espurr,Photon Geyser
Meowstic Female,Skill Swap
Meowstic Male,Stored Power
Honedge,Shift Gear
Doublade,Gyro Ball
Aegislash Blade Forme,G-Max Meltdown
Aegislash Shield Forme,Metal Burst
Spritzee,Misty Terrain
Aromatisse,Baby Doll Eyes
Swirlix,Moonlight
Slurpuff,Dazzling Gleam
Inkay,Throat Chop
Malamar,Memento
Binacle,Rock Throw
Barbaracle,Ancient Power
Skrelp,Baneful Bunker
Dragalge,Poison Tail
Clauncher,Rain Dance
Clawitzer,Bubble Beam
Helioptile,Magnetic Flux
Heliolisk,Charge Beam
Tyrunt,Stealth Rock
Tyrantrum,Diamond Storm
Amaura,Ancient Power
Aurorus,Head Smash
Sylveon,Fleur Cannon
Hawlucha,Quick Guard
Dedenne,Parabolic Charge
Carbink,Wide Guard
Goomy,Clangorous Soul
Hisuian Sliggoo,Clanging Scales
Sliggoo,Scale Shot
Goodra,Dragon Rush
Hisuian Goodra,Dragon Tail
Klefki,Anchor Shot
Phantump,Ominous Wind
Trevenant,Poltergeist
Pumpkaboo Super Size,Curse
Pumpkaboo Large Size,Spite
Pumpkaboo Small Size,Ominous Wind
Pumpkaboo Average Size,Hex
Gourgeist Super Size,Spectral Thief
Gourgeist Large Size,Shadow Bone
Gourgeist Small Size,Sinister Arrow Raid
Gourgeist Average Size,Night Shade
Bergmite,Freezy Frost
Hisuian Avalugg,Triple Axel
Avalugg,Haze
Noibat,Max Airstream
Noivern,Brave Bird
Xerneas,Baby Doll Eyes
Yveltal,Foul Play
Zygarde Complete Forme,Dragon Breath
Zygarde 10% Forme,Breaking Swipe
Zygarde 50% Forme,Core Enforcer
Mega Diancie,Rock Blast
Diancie,Stealth Rock
Hoopa Unbound,Calm Mind
Hoopa Confined,Photon Geyser
Volcanion,Blue Flare
Rowlet,Synthesis
Dartrix,Grav Apple
Hisuian Decidueye,Sappy Seed
Decidueye,Energy Ball
Litten,Lava Plume
Torracat,Mind Blown
Incineroar,Fire Pledge
Popplio,Octazooka
Brionne,G-Max Cannonade
Primarina,Splishy Splash
Pikipek,Razor Wind
Trumbeak,Double Slap
Toucannon,Present
Yungoos,Extreme Speed
Gumshoos,Block
Grubbin,Spider Web
Charjabug,X Scissor
Vikavolt,Quiver Dance
Crabrawler,Close Combat
Crabominable,Vital Throw
Oricorio Pa'u Style,Freezing Glare
Oricorio Pom-Pom Style,Eerie Impulse
Oricorio Sensu Style,Spirit Shackle
Oricorio Baile Style,Fiery Dance
Cutiefly,String Shot
Ribombee,Sticky Web
Rockruff,Diamond Storm
Own Tempo Rockruff,Splintered Stormshards
Lycanroc Midday Form,Rock Blast
Lycanroc Midnight Form,Splintered Stormshards
Lycanroc Dusk Form,Stone Edge
Wishiwashi Solo Form,Razor Shell
Wishiwashi School Form,Bubble Beam
Mareanie,Gastro Acid
Toxapex,Gastro Acid
Mudbray,Land'S Wrath
Mudsdale,Thousand Arrows
Dewpider,Hydro Cannon
Araquanid,G-Max Hydrosnipe
Fomantis,Needle Arm
Lurantis,Ingrain
Morelull,Drum Beating
Shiinotic,Grassy Terrain
Salandit,G-Max Malodor
Salazzle,Acid Spray
Stufful,Horn Drill
Bewear,Rock Climb
Bounsweet,Energy Ball
Steenee,Petal Dance
Tsareena,Sleep Powder
Comfey,Misty Explosion
Oranguru,False Swipe
Passimian,Reversal
Wimpod,Infestation
Golisopod,Leech Life
Sandygast,Astonish
Palossand,Shadow Ball
Pyukumuku,Bubble
Type: Null,Recover
Silvally,Slam
Minior Meteor Form,Rock Tomb
Minior Core Form,Sandstorm
Komala,Pain Split
Turtonator,Fire Lash
Togedemaru,G-Max Stun Shock
Mimikyu,Curse
Bruxish,Water Shuriken
Drampa,Veevee Volley
Dhelmise,Shadow Force
Jangmo-o,Breaking Swipe
Hakamo-o,Dragon Rage
Kommo-o,Eternabeam
Tapu Koko,Electric Terrain
Tapu Lele,Future Sight
Tapu Bulu,Sappy Seed
Tapu Fini,Surf
Cosmog,Psycho Cut
Cosmoem,Teleport
Solgaleo,Glitzy Glow
Lunala,Imprison
Nihilego,Stealth Rock
Buzzwole,Tail Glow
Pheromosa,Leech Life
Xurkitree,G-Max Volt Crash
Celesteela,Anchor Shot
Kartana,Cotton Spore
Guzzlord,Throat Chop
Dusk Mane Necrozma,Psystrike
Necrozma,Psyshock
Dawn Wings Necrozma,Psychic
Ultra Necrozma,Reflect
Magearna,Heavy Slam
Marshadow,Arm Thrust
Poipole,Cross Poison
Naganadel,G-Max Malodor
Stakataka,Wide Guard
Blacephalon,Sizzly Slide
Zeraora,Pika Papow
Meltan,Flash Cannon
Melmetal Gigantamax,Metal Sound
Melmetal,Searing Sunraze Smash
Grookey,Grass Knot
Thwackey,Mega Drain
Rillaboom Gigantamax,Grass Knot
Rillaboom,Grassy Terrain
Scorbunny,Blaze Kick
Raboot,Will O Wisp
Cinderace Gigantamax,Max Flare
Cinderace,Fire Pledge
Sobble,Crabhammer
Drizzile,G-Max Stonesurge
Inteleon Gigantamax,Water Pulse
Inteleon,Aqua Jet
Skwovet,Growl
Greedent,Swift
Rookidee,Peck
Corvisquire,Sky Drop
Corviknight,Pluck
Corviknight Gigantamax,Sky Drop
Blipbug,Pollen Puff
Dottler,Pollen Puff
Orbeetle,Fell Stinger
Orbeetle Gigantamax,Megahorn
Nickit,Fling
Thievul,Punishment
Gossifleur,Petal Dance
Eldegoss,Spiky Shield
Wooloo,Lovely Kiss
Dubwool,Attract
Chewtle,G-Max Cannonade
Drednaw Gigantamax,G-Max Hydrosnipe
Drednaw,Splishy Splash
Yamper,Bolt Beak
Boltund,Discharge
Rolycoly,Accelerock
Carkol,Meteor Beam
Coalossal Gigantamax,Rock Throw
Coalossal,Rock Slide
Applin,Synthesis
Flapple,Snap Trap
